Pais;Time
Franca;OGC Nice
Franca;Olympique Lyonnais
Franca;Olympique de Marseille
Franca;Paris FC
Franca;Paris Saint-Germain
Franca;Pau FC
Franca;RC Strasbourg Alsace
Franca;Racing Club de Lens
Franca;Red Star FC
Franca;Rodez Aveyron
Franca;SC Bastia
Franca;Stade Brestois 29
Franca;Stade Rennais FC
Franca;Stade de Reims
Franca;Toulouse FC
Franca;Troyes
Grécia;AEK Athens
Grécia;Olympiacos FC
Grécia;PAOK
Grécia;Panathinaikos
Holanda;AZ
Holanda;Ajax
Holanda;Excelsior
Holanda;FC Utrecht
Holanda;FC Volendam
Holanda;Feyenoord
Holanda;Fortuna Sittard
Holanda;Go Ahead Eagles
Holanda;Groningen
Holanda;Heracles Almelo
Holanda;NAC Breda
Holanda;NEC Nijmegen
Holanda;PEC Zwolle
Holanda;PSV
Holanda;SC Heerenveen
Holanda;Sparta Rotterdam
Holanda;Telstar
Holanda;Twente
Hungria;Ferencvarosi TC
India;ATK Mohun Bagan
India;Bengaluru
India;Chennaiyin
India;East Bengal
India;Goa
India;Hyderabad
India;Jamshedpur
India;Kerala Blasters
India;Mohammedan
India;Mumbai City
India;NorthEast United
India;Odisha
India;RoundGlass Punjab
Inglaterra;AFC Wimbledon
Inglaterra;Accrington Stanley
Inglaterra;Arsenal
Inglaterra;Aston Villa
Inglaterra;Barnet
Inglaterra;Barnsley
Inglaterra;Barrow
Inglaterra;Birmingham City
Inglaterra;Blackburn Rovers
Inglaterra;Blackpool
Inglaterra;Bolton Wanderers
Inglaterra;Bournemouth
Inglaterra;Bradford City
Inglaterra;Brentford
Inglaterra;Brighton & Hove Albion
Inglaterra;Bristol City
Inglaterra;Bristol Rovers
Inglaterra;Bromley
Inglaterra;Burnley
Inglaterra;Burton Albion
Inglaterra;Cambridge United
Inglaterra;Cardiff City
Inglaterra;Charlton Athletic
Inglaterra;Chelsea
Inglaterra;Cheltenham Town
Inglaterra;Chesterfield
Inglaterra;Colchester United
Inglaterra;Coventry City
Inglaterra;Crawley Town
Inglaterra;Crewe Alexandra
Inglaterra;Crystal Palace
Inglaterra;Derby County
Inglaterra;Doncaster Rovers
Inglaterra;Everton
Inglaterra;Exeter City
Inglaterra;Fleetwood Town
Inglaterra;Fulham
Inglaterra;Gillingham
Inglaterra;Grimsby Town
Inglaterra;Harrogate Town
Inglaterra;Huddersfield Town
Inglaterra;Hull City
Inglaterra;Ipswich Town
Inglaterra;Leeds United
Inglaterra;Leicester City
Inglaterra;Leyton Orient
Inglaterra;Lincoln City
Inglaterra;Liverpool
Inglaterra;Luton Town
Inglaterra;Manchester City
Inglaterra;Manchester United
Inglaterra;Mansfield Town
Inglaterra;Middlesbrough
Inglaterra;Millwall
Inglaterra;Milton Keynes Dons
Inglaterra;Newcastle United
Inglaterra;Newport County
Inglaterra;Northampton Town
Inglaterra;Norwich City
Inglaterra;Nottingham Forest
Inglaterra;Notts County
Inglaterra;Oldham Athletic
Inglaterra;Oxford United
Inglaterra;Peterborough United
Inglaterra;Plymouth Argyle
Inglaterra;Port Vale
Inglaterra;Portsmouth
Inglaterra;Preston North End
Inglaterra;Queens Park Rangers
Inglaterra;Reading
Inglaterra;Rotherham United
Inglaterra;Salford City
Inglaterra;Sheffield United
Inglaterra;Sheffield Wednesday
Inglaterra;Shrewsbury Town
Inglaterra;Southampton
Inglaterra;Stevenage
Inglaterra;Stockport County
Inglaterra;Stoke City
Inglaterra;Sunderland
Inglaterra;Swansea City
Inglaterra;Swindon Town
Inglaterra;Tottenham
Inglaterra;Tranmere Rovers
Inglaterra;Walsall
Inglaterra;Watford
Inglaterra;West Bromwich Albion
Inglaterra;West Ham
Inglaterra;Wigan Athletic
Inglaterra;Wolverhampton
Inglaterra;Wrexham
Inglaterra;Wycombe Wanderers
Irlanda;Bohemians
Irlanda;Cork City
Irlanda;Derry City
Irlanda;Drogheda
Irlanda;Galway United
Irlanda;Shamrock Rovers
Irlanda;Shelbourne
Irlanda;Sligo Rovers
Irlanda;St Patrick's Athletic
Irlanda;Waterford
Italia;AC Monza
Italia;AS Roma
Italia;Atalanta
Italia;Avellino
Italia;Bari
Italia;Bologna
Italia;Cagliari
Italia;Carrarese
Italia;Catanzaro
Italia;Cesena
Italia;Como
Italia;Cremonese
Italia;Empoli
Italia;Fiorentina
Italia;Frosinone
Italia;Genoa
Italia;Hellas Verona
Italia;Inter
Italia;Juve Stabia
Italia;Juventus
Italia;Lazio
Italia;Lecce
Italia;Mantova
Italia;Milan
Italia;Modena
Italia;Napoli
Italia;Padova
Italia;Palermo
Italia;Parma
Italia;Pescara
Italia;Pisa
Italia;Reggiana
Italia;Sampdoria
Italia;Sassuolo
Italia;Spezia
Italia;Sudtirol
Italia;Torino
Italia;Udinese
Italia;Venezia
Italia;Virtus Entella
Marrocos;CR Khemis
Marrocos;Chabab Mohammedia
Marrocos;FAR Rabat
Marrocos;FUS Rabat
Marrocos;Hassania Agadir
Marrocos;Ittihad Tanger
Marrocos;MAS Fes
Marrocos;MAT Tetouan
Marrocos;MCO Oujda
Marrocos;Olympic Club de Safi
Marrocos;RSB Berkane
Marrocos;Raja Casablanca
Marrocos;Salmi
Marrocos;Union Touarga Sport
Marrocos;Wydad Casablanca
Marrocos;Youssoufia Berrechid
Mexico;America
Mexico;Atlante
Mexico;Atlas
Mexico;Atletico San Luis
Mexico;Cruz Azul
Mexico;FC Juarez
Mexico;Guadalajara
Mexico;Leon
Mexico;Monterrey
Mexico;Necaxa
Mexico;Pachuca
Mexico;Puebla
Mexico;Pumas UNAM
Mexico;Queretaro
Mexico;Santos Laguna
Mexico;Tigres UANL
Mexico;Tijuana
Mexico;Toluca
Noruega;Bodo/Glimt
Noruega;Bryne
Noruega;Fredrikstad
Noruega;Hamarkameratene
Noruega;Haugesund
Noruega;KFUM Oslo
Noruega;Kristiansund
Noruega;Molde
Noruega;Rosenborg
Noruega;SK Brann
Noruega;Sandefjord
Noruega;Sarpsborg 08
Noruega;Stromsgodset
Noruega;Tromso
Noruega;Valerenga
Noruega;Viking
Polonia;Arka Gdynia
Polonia;Bruk-Bet Termalica
Polonia;Cracovia
Polonia;GKS Katowice
Polonia;Gornik Zabrze
Polonia;Jagiellonia Bialystok
Polonia;Korona Kielce
Polonia;Lech Poznan
Polonia;Lechia Gdansk
Polonia;Legia Warszawa
Polonia;Motor Lublin
Polonia;Piast Gliwice
Polonia;Pogon Szczecin
Polonia;Radomiak Radom
Polonia;Rakow Czestochowa
Polonia;Widzew Lodz
Polonia;Wisla Plock
Polonia;Zaglebie Lubin
Portugal;AVS
Portugal;Alverca
Portugal;Arouca
Portugal;CD Nacional
Portugal;Casa Pia
Portugal;Estoril
Portugal;Estrela Amadora
Portugal;FC Porto
Portugal;Famalicao
Portugal;Gil Vicente
Portugal;Moreirense
Portugal;Rio Ave
Portugal;SL Benfica
Portugal;Santa Clara
Portugal;Sporting
Portugal;Sporting de Braga
Portugal;Tondela
Portugal;Vitoria de Guimaraes
Romenia;Arges Pitesti
Romenia;Botosani
Romenia;CFR Cluj
Romenia;Csikszereda Ciuc
Romenia;Dinamo Bucuresti
Romenia;FCSB
Romenia;Farul Constanta
Romenia;Hermannstadt
Romenia;Metaloglobus Bucuresti
Romenia;Otelul Galati
Romenia;Petrolul
Romenia;Rapid Bucuresti
Romenia;UTA Arad
Romenia;Unirea Slobozia
Romenia;Universitatea Cluj
Romenia;Universitatea Craiova
Sem País / Times Genéricos;AFC Richmond
Sem País / Times Genéricos;Classic XI
Sem País / Times Genéricos;MLS All-Star
Sem País / Times Genéricos;Soccer Aid
Sem País / Times Genéricos;Zlatan FC
Sem País / Times Genéricos;adidas All-Star
Suecia;AIK
Suecia;BK Hacken
Suecia;Degerfors IF
Suecia;Djurgardens IF
Suecia;GAIS
Suecia;Halmstads BK
Suecia;Hammarby IF
Suecia;IF Brommapojkarna
Suecia;IF Elfsborg
Suecia;IFK Goteborg
Suecia;IFK Norrkoping
Suecia;IFK Varnamo
Suecia;IK Sirius
Suecia;Malmo FF
Suecia;Mjallby AI
Suecia;Osters IF
Suica;BSC Young Boys
Suica;FC Basel
Suica;FC Lausanne-Sport
Suica;FC Lugano
Suica;FC Luzern
Suica;FC Sion
Suica;FC St. Gallen
Suica;FC Zurich
Suica;Grasshopper
Suica;Servette FC
Suica;Thun
Suica;Winterthur
Turquia;Alanyaspor
Turquia;Antalyaspor
Turquia;Besiktas Istanbul
Turquia;Eyupspor
Turquia;Fatih Karagumruk
Turquia;Fenerbahce Istanbul
Turquia;Galatasaray Istanbul
Turquia;Gazisehir Gaziantep FK
Turquia;Genclerbirligi
Turquia;Goztepe
Turquia;Istanbul Basaksehir FK
Turquia;Kasimpasa Istanbul
Turquia;Kayserispor
Turquia;Kocaelispor
Turquia;Konyaspor
Turquia;Rizespor
Turquia;Samsunspor
Turquia;Trabzonspor
Ucrânia;Dinamo Kiev
Ucrânia;Shakhtar Donetsk
África do Sul;Kaizer Chiefs
África do Sul;Mamelodi Sundowns
África do Sul;Orlando Pirates
Selecoes Nacionais;Africa do Sul
Selecoes Nacionais;Alemanha
Selecoes Nacionais;Arabia Saudita
Selecoes Nacionais;Argelia
Selecoes Nacionais;Argentina
Selecoes Nacionais;Australia
Selecoes Nacionais;Austria
Selecoes Nacionais;Belgica
Selecoes Nacionais;Bosnia e Herzegovina
Selecoes Nacionais;Brasil
Selecoes Nacionais;Cabo Verde
Selecoes Nacionais;Canada
Selecoes Nacionais;Catar
Selecoes Nacionais;Chequia
Selecoes Nacionais;Colombia
Selecoes Nacionais;Coreia do Sul
Selecoes Nacionais;Costa do Marfim
Selecoes Nacionais;Croacia
Selecoes Nacionais;Curacao
Selecoes Nacionais;Dinamarca
Selecoes Nacionais;Egito
Selecoes Nacionais;Equador
Selecoes Nacionais;Escocia
Selecoes Nacionais;Espanha
Selecoes Nacionais;Estados Unidos
Selecoes Nacionais;Finlandia
Selecoes Nacionais;Franca
Selecoes Nacionais;Gana
Selecoes Nacionais;Haiti
Selecoes Nacionais;Holanda
Selecoes Nacionais;Hungria
Selecoes Nacionais;Indonesia
Selecoes Nacionais;Inglaterra
Selecoes Nacionais;Ira
Selecoes Nacionais;Iraque
Selecoes Nacionais;Irlanda do Norte
Selecoes Nacionais;Islandia
Selecoes Nacionais;Italia
Selecoes Nacionais;Japao
Selecoes Nacionais;Jordania
Selecoes Nacionais;Marrocos
Selecoes Nacionais;Mexico
Selecoes Nacionais;Noruega
Selecoes Nacionais;Nova Zelandia
Selecoes Nacionais;Pais de Gales
Selecoes Nacionais;Panama
Selecoes Nacionais;Paraguai
Selecoes Nacionais;Polonia
Selecoes Nacionais;Portugal
Selecoes Nacionais;Republica Democratica do Congo
Selecoes Nacionais;Republica da Irlanda
Selecoes Nacionais;Romenia
Selecoes Nacionais;Senegal
Selecoes Nacionais;Suecia
Selecoes Nacionais;Suica
Selecoes Nacionais;Tunisia
Selecoes Nacionais;Turquia
Selecoes Nacionais;Ucrania
Selecoes Nacionais;Uruguai
Selecoes Nacionais;Uzbequistao
